text,label,lang
"Votre numero a ete tire au sort pour un prix de 5000$. Envoyez vos infos bancaires pour recevoir le paiement.",fraud,fr
"ALERTE: connexion non autorisee a votre compte. Reinitialisez votre mot de passe: http://secure-login-ca.top/reset",fraud,fr
"Bonjour, ici Apple Support. Votre identifiant Apple a ete verrouille. Verifiez: http://appleid-verify.click",fraud,fr
"Hi, Apple Support here. Your Apple ID has been locked. Verify: http://appleid-verify.click",fraud,en
"Revenu Quebec: derniere chance de reclamer votre credit de 619$ avant expiration: http://revenu-qc.remboursement.top",fraud,fr
"CRA final notice: claim your $619 benefit before it expires: http://cra-benefit.refund.top",fraud,en
"Votre rendez-vous chez Dr. Tremblay est confirme pour le 3 juillet a 14h30. Repondez OUI pour confirmer.",legit,fr
"Votre code de verification Desjardins est 482913. Ne le partagez avec personne.",legit,fr
"Merci pour votre commande! Votre colis arrivera demain entre 9h et 12h.",legit,fr
"Rappel: votre facture Hydro-Quebec de 87,45$ est due le 15 juillet. Details sur votre espace client.",legit,fr
"Salut! On se rejoint au restaurant a 19h ce soir? Hate de te voir.",legit,fr
"Votre reservation au Bistro Le Sain est confirmee pour 2 personnes a 20h.",legit,fr
"Bonjour, c'est la clinique dentaire. Votre nettoyage est prevu vendredi a 10h. Au plaisir!",legit,fr
"Votre livraison Purolator a ete deposee a votre porte. Merci d'avoir magasine chez nous.",legit,fr
"Promo Videotron: 20% de rabais sur Internet ce mois-ci. Visitez videotron.com pour les details.",legit,fr
"Maman, je serai en retard pour le souper, le bus est en retard. A tantot!",legit,fr
"Votre code a usage unique est 905512. Il expire dans 10 minutes.",legit,fr
"Rappel d'abonnement: votre paiement mensuel Spotify de 10,99$ sera preleve demain.",legit,fr
"Bonjour, votre commande #4821 est prete a etre ramassee en magasin jusqu'a 18h.",legit,fr
"Merci d'etre client TD. Votre releve mensuel est maintenant disponible dans l'appli.",legit,fr
"Salut, peux-tu m'envoyer la recette de tantine pour le souper de dimanche? Merci!",legit,fr
"Your appointment with Dr. Smith is confirmed for July 3 at 2:30 PM. Reply YES to confirm.",legit,en
"Your RBC verification code is 482913. Do not share it with anyone.",legit,en
"Thanks for your order! Your package will arrive tomorrow between 9am and 12pm.",legit,en
"Reminder: your phone bill of $87.45 is due July 15. View details in your account.",legit,en
"Hey! Are we still meeting at the restaurant at 7 tonight? Can't wait to see you.",legit,en
"Your reservation at The Keg is confirmed for 2 at 8pm.",legit,en
"Hi, this is the dental clinic. Your cleaning is booked for Friday at 10am. See you!",legit,en
"Your Purolator delivery was left at your door. Thanks for shopping with us.",legit,en
"Your one-time passcode is 905512. It expires in 10 minutes.",legit,en
"Subscription reminder: your monthly Spotify payment of $10.99 will be charged tomorrow.",legit,en
"Mom, I'll be late for dinner, the bus is delayed. See you soon!",legit,en
"Your order #4821 is ready for in-store pickup until 6pm.",legit,en
"Thanks for being a TD customer. Your monthly statement is now available in the app.",legit,en
"Hey, can you send me auntie's recipe for Sunday dinner? Thanks!",legit,en
"Flight AC123 to Toronto is on time, boarding at gate 22 at 3:45 PM.",legit,en
"Votre releve est pret. Connectez-vous en toute securite sur https://www.desjardins.com pour le consulter.",legit,fr
"View your statement securely at https://www.rbc.com and never share your password.",legit,en
"Suivez votre colis sur https://www.canadapost.ca avec votre numero de suivi.",legit,fr
"Track your package at https://www.ups.com using your tracking number.",legit,en
"Soldes d'ete chez Simons! Jusqu'a 40% de rabais en magasin. Desabonnement: repondez STOP.",legit,fr
"Summer sale at Simons! Up to 40% off in store. Reply STOP to unsubscribe.",legit,en
"Votre table chez Pizzeria No.900 sera prete dans 15 minutes. Merci de votre patience!",legit,fr
"Your prescription is ready for pickup at Jean Coutu. Open until 9pm.",legit,en
"Rappel: cours de yoga demain a 18h au studio. Apportez votre tapis!",legit,fr
"Reminder: yoga class tomorrow at 6pm at the studio. Bring your mat!",legit,en
"Votre virement Interac de 250$ a Marie a ete complete avec succes.",legit,fr
"Your Interac e-transfer of $250 to Marie was completed successfully.",legit,en
"Confirmation: paiement de 45,99$ chez IGA approuve sur votre carte se terminant par 1234.",legit,fr
"Confirmation: $45.99 payment at IGA approved on your card ending 1234.",legit,en
"Votre solde de points AIR MILES est de 1240. Merci de magasiner avec nous.",legit,fr
"Bonjour! Petit rappel amical: tu me dois 20$ pour le cadeau de groupe. Pas urgent :)",legit,fr
"Hey! Friendly reminder you owe me $20 for the group gift. No rush :)",legit,en
"Votre commande Uber Eats arrive dans 10 minutes. Votre livreur est Karim.",legit,fr
"Your Uber Eats order is arriving in 10 minutes. Your courier is Karim.",legit,en
"Rappel: reunion d'equipe demain 9h en salle 3. Ordre du jour envoye par courriel.",legit,fr
